What is the name of your high school? ,What is your grade level? ,"Have you received any formal instruction related to personal finance in school (e.g., budgeting, credit, loans, investing)?  ","  In your opinion, how important is it for high school students (ages 14-18) to learn about personal finance?  ","How confident do you feel in your ability to make basic personal finance decisions (e.g., budgeting, saving, understanding credit)?  ",1. What’s the most important first step in setting up a long-term financial plan? ,2. What’s a good example of using automation to manage your personal finances? ,3. What is the most responsible first move for building your credit? ,"4. When you can’t pay off your credit cards in full, what’s the smartest strategy to reduce your debt long-term? ","5. If you invest $100 a month starting at age 21 and earn 7% annually, what would your account balance be at age 91? ",6. Which of these statements accurately reflect the risks associated with investing? ,7.  Which metric best helps you compare the cost vs. benefit of college borrowing? ,8. What’s the most efficient method to eliminate student loan debt? ,9. What consequences are likely to occur if you default on your student loans? ,"10. When reviewing a loan application, lenders usually examine the following core areas:",11. Your monthly loan payments are based on:,"12. If inflation is 3%, what does that mean for your personal finances?"
Arlington High School,Sophomore (10th),No,5,4,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",A. Take out a student loan or credit card and make all payments on time.,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",B. Dollar-cost averaging for student debt,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"A. Credit score, available savings, educational background, and job history","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Junior (11th),Yes,3,3,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform","B. Create a plan with a working budget, emergency fund, and repayment strategy.",A. Pay a little more than the minimum monthly amount across all your credit cards.,D. None of the above.,"E. A, C, and D.",B. Dollar-cost averaging for student debt,C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Freshman (9th),No,3,4,"A. Define your life, career, and financial goals in writing",D. Avoid automating anything—manual tracking is more accurate,"B. Create a plan with a working budget, emergency fund, and repayment strategy.",B. Pay off the smallest balance first to gain momentum.,"A. $141,598.","A. You could lose all your stock investment, and real estate losses can exceed your initial amount",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"D. Liquidity, credit history, asset report scoring, and debt load","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Junior (11th),No,4,2,D. Review your credit score and payment history,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",A. Take out a student loan or credit card and make all payments on time.,A. Pay a little more than the minimum monthly amount across all your credit cards.,"A. $141,598.","E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR)",B. Retirement accounts like 401(k)s automatically account for inflation by 3%
Arlington High School,Junior (11th),No,4,2,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,"A. $141,598.","B. Losses are capped at 20% across stocks and real estate, so if you invest $10,000, the most you can lose is $2,000.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"C. Home equity, cash flow, asset reports, and debt-to-liquidity ratio",B. Interest rate charged,C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Junior (11th),Not sure,5,4,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform","B. Create a plan with a working budget, emergency fund, and repayment strategy.",C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"A. You could lose all your stock investment, and real estate losses can exceed your initial amount",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Junior (11th),No,5,4,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform","B. Create a plan with a working budget, emergency fund, and repayment strategy.",C. Pay the maximum you can afford on the card with the highest interest rate.,"A. $141,598.",C. Investments in real estate are not liquid and cannot be sold quickly.,A. College feasibility test,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Junior (11th),No,4,2,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,"A. $141,598.","A. You could lose all your stock investment, and real estate losses can exceed your initial amount",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Junior (11th),No,4,2,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,"A. $141,598.","A. You could lose all your stock investment, and real estate losses can exceed your initial amount",B. Dollar-cost averaging for student debt,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"D. Liquidity, credit history, asset report scoring, and debt load","B. Interest rate charged, C. Annual Percentage Rate (APR)",E. Not sure
Arlington High School,Junior (11th),Yes,5,2,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,D. Pay the maximum payment on the card with the highest balance.,"A. $141,598.",C. Investments in real estate are not liquid and cannot be sold quickly.,B. Dollar-cost averaging for student debt,C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",B. Retirement accounts like 401(k)s automatically account for inflation by 3%
Arlington High School,Junior (11th),No,4,2,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,D. None of the above.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"D. Liquidity, credit history, asset report scoring, and debt load","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Sophomore (10th),Not sure,4,3,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",A. Take out a student loan or credit card and make all payments on time.,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"D. Liquidity, credit history, asset report scoring, and debt load","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Junior (11th),No,5,2,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,D. Pay the maximum amount on the card with the highest balance.,"A. $141,598.","E. A, C, and D.",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"A. Credit score, available savings, educational background, and job history",C. Annual Percentage Rate (APR),D. You need to grow your savings by 3% every year to keep pace
Arlington high school,Junior (11th),No,4,5,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,"B. Between $150,000–$225,000, depending on circumstances.","B. Losses are capped at 20% across stocks and real estate, so if you invest $10,000, the most you can lose is $2,000.",C. Return on investment (ROI),B. Target the smallest outstanding balances first to knock them out,C. The government may take your state and federal tax refunds to pay off your student loans,"A. Credit score, available savings, educational background, and job history","A. Annual Percentage Yield (APY), B. Interest rate charged",B. Retirement accounts like 401(k)s automatically account for inflation by 3%
Arlington high school,Junior (11th),Not sure,5,3,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,C. Take a cash advance on a credit card and deposit it to earn interest.,B. Pay off the smallest balance first to gain momentum.,C. Over $1.5 million.,"B. Losses are capped at 20% across stocks and real estate, so if you invest $10,000, the most you can lose is $2,000.",B. Dollar-cost averaging for student debt,D. Max out payments on the loan with the highest overall balance,E. All of the Above,"C. Home equity, cash flow, asset reports, and debt-to-liquidity ratio","B. Interest rate charged, C. Annual Percentage Rate (APR)",B. Retirement accounts like 401(k)s automatically account for inflation by 3%
Arlington high,Sophomore (10th),No,4,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform","B. Create a plan with a working budget, emergency fund, and repayment strategy.",A. Pay a little more than the minimum monthly amount across all your credit cards.,"A. $141,598.","E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"C. Home equity, cash flow, asset reports, and debt-to-liquidity ratio",A. Annual Percentage Yield (APY),"A. Stocks, bonds, and mutual funds will automatically adjust by 3% to match inflation"
Arlington highschool,Junior (11th),Yes,5,4,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform","B. Create a plan with a working budget, emergency fund, and repayment strategy.",A. Pay a little more than the minimum monthly amount across all your credit cards.,C. Over $1.5 million.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington high school ,Sophomore (10th),No,5,3,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,"A. $141,598.","E. A, C, and D.",C. Return on investment (ROI),B. Target the smallest outstanding balances first to knock them out,C. The government may take your state and federal tax refunds to pay off your student loans,"C. Home equity, cash flow, asset reports, and debt-to-liquidity ratio","A. Annual Percentage Yield (APY), C. Annual Percentage Rate (APR)",B. Retirement accounts like 401(k)s automatically account for inflation by 3%
Arlington High School,Sophomore (10th),No,5,2,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,E. Not sure,"A. $141,598.","A. You could lose all your stock investment, and real estate losses can exceed your initial amount",C. Return on investment (ROI),A. Make slightly higher payments than the minimum on all your loans,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged",C. You need to earn 3% more in net income just to maintain your current standard of living
arlington high school,Sophomore (10th),No,5,1,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,"A. $141,598.","E. A, C, and D.",C. Return on investment (ROI),C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Sophomore (10th),No,4,4,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,D. Pay the maximum amount on the card with the highest balance.,"A. $141,598.","E. A, C, and D.",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",D. You need to grow your savings by 3% every year to keep pace
Arlington high school,Sophomore (10th),No,4,3,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",C. Return on investment (ROI),C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Sophomore (10th),No,4,2,"A. Define your life, career, and financial goals in writing",C. Letting each service provider withdraw their monthly fees straight from your checking account.,D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,D. None of the above.,"E. A, C, and D.",D. All of the above,B. Target the smallest outstanding balances first to knock them out,A. The loan holder can take legal action against you,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",E. Not sure
Arlington High School,Sophomore (10th),No,5,2,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,"B. Between $150,000–$225,000, depending on circumstances.","E. A, C, and D.",D. All of the above,D. Max out payments on the loan with the highest overall balance,D. A and C,"A. Credit score, available savings, educational background, and job history","B. Interest rate charged, C. Annual Percentage Rate (APR)",E. Not sure
Arlington High School,Sophomore (10th),No,4,1,D. Review your credit score and payment history,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform","B. Create a plan with a working budget, emergency fund, and repayment strategy.",C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,A. The loan holder can take legal action against you,"A. Credit score, available savings, educational background, and job history","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Sophomore (10th),No,5,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,D. None of the above.,"B. Losses are capped at 20% across stocks and real estate, so if you invest $10,000, the most you can lose is $2,000.",C. Return on investment (ROI),B. Target the smallest outstanding balances first to knock them out,C. The government may take your state and federal tax refunds to pay off your student loans,"B. Credit history, equity, financial assets, and debt-to-income ratio",D. Loan duration,C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Junior (11th),No,4,2,C. Open a basic savings account to begin earning interest.,A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,D. Pay the maximum amount on the card with the highest balance.,"B. Between $150,000–$225,000, depending on circumstances.","E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington hs ,Sophomore (10th),No,4,4,D. Review your credit score and payment history,A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,E. Not sure,"B. Between $150,000–$225,000, depending on circumstances.","B. Losses are capped at 20% across stocks and real estate, so if you invest $10,000, the most you can lose is $2,000.",A. College feasibility test,D. Max out payments on the loan with the highest overall balance,C. The government may take your state and federal tax refunds to pay off your student loans,"D. Liquidity, credit history, asset report scoring, and debt load","A. Annual Percentage Yield (APY), C. Annual Percentage Rate (APR)",B. Retirement accounts like 401(k)s automatically account for inflation by 3%
Arlington High School,Sophomore (10th),No,4,1,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,C. Investments in real estate are not liquid and cannot be sold quickly.,C. Return on investment (ROI),C. Max out payments (within budget) on the highest interest loan,D. A and C,"C. Home equity, cash flow, asset reports, and debt-to-liquidity ratio",C. Annual Percentage Rate (APR),E. Not sure
Arlington High School,Sophomore (10th),Yes,4,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,B. Pay off the smallest balance first to gain momentum.,"A. $141,598.","E. A, C, and D.",C. Return on investment (ROI),B. Target the smallest outstanding balances first to knock them out,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington high school,Sophomore (10th),No,5,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,B. Pay off the smallest balance first to gain momentum.,D. None of the above.,C. Investments in real estate are not liquid and cannot be sold quickly.,D. All of the above,C. Max out payments (within budget) on the highest interest loan,B. You can file for bankruptcy to erase the debt,"C. Home equity, cash flow, asset reports, and debt-to-liquidity ratio","A. Annual Percentage Yield (APY), C. Annual Percentage Rate (APR)","A. Stocks, bonds, and mutual funds will automatically adjust by 3% to match inflation"
Arlington High School,Sophomore (10th),No,5,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,C. Over $1.5 million.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"D. Liquidity, credit history, asset report scoring, and debt load","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Sophomore (10th),Yes,5,4,D. Review your credit score and payment history,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High School,Sophomore (10th),No,5,4,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,B. Pay off the smallest balance first to gain momentum.,"A. $141,598.","E. A, C, and D.",D. All of the above,B. Target the smallest outstanding balances first to knock them out,D. A and C,"A. Credit score, available savings, educational background, and job history","A. Annual Percentage Yield (APY), B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",B. Retirement accounts like 401(k)s automatically account for inflation by 3%
Arlington High School,Sophomore (10th),No,5,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,D. None of the above.,"E. A, C, and D.",C. Return on investment (ROI),B. Target the smallest outstanding balances first to knock them out,E. All of the Above,"A. Credit score, available savings, educational background, and job history",B. Interest rate charged,C. You need to earn 3% more in net income just to maintain your current standard of living
Arlington High school,Sophomore (10th),No,3,4,"A. Define your life, career, and financial goals in writing",C. Letting each service provider withdraw their monthly fees straight from your checking account.,"B. Create a plan with a working budget, emergency fund, and repayment strategy.",B. Pay off the smallest balance first to gain momentum.,"B. Between $150,000–$225,000, depending on circumstances.","B. Losses are capped at 20% across stocks and real estate, so if you invest $10,000, the most you can lose is $2,000.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,C. The government may take your state and federal tax refunds to pay off your student loans,"A. Credit score, available savings, educational background, and job history","A. Annual Percentage Yield (APY), C. Annual Percentage Rate (APR)",E. Not sure
Arlington High,Junior (11th),No,4,2,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,"B. Create a plan with a working budget, emergency fund, and repayment strategy.",A. Pay a little more than the minimum monthly amount across all your credit cards.,D. None of the above.,"E. A, C, and D.",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"A. Credit score, available savings, educational background, and job history","C. Annual Percentage Rate (APR), D. Loan duration",E. Not sure
Arlington High School ,Sophomore (10th),No,4,2,D. Review your credit score and payment history,A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,"A. $141,598.","E. A, C, and D.",D. All of the above,B. Target the smallest outstanding balances first to knock them out,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living
